"Time (s)","Sound pressure level (dB)"
1.996837608E1,-6.842200742E1
2.007354150E1,-6.938009514E1
2.017543696E1,не число
2.028134317E1,-7.038086868E1
2.038687879E1,-7.110973916E1
2.048979825E1,-6.983051586E1
2.059641608E1,-6.999373427E1
2.070289437E1,-6.978834100E1
2.080537462E1,-7.070074037E1
2.091214162E1,-7.121791698E1
2.101887654E1,-7.018556753E1
2.112345158E1,-7.102948044E1
2.122611500E1,-7.008506085E1
2.133276079E1,-7.043906918E1
2.143947583E1,-7.097357117E1
2.154194204E1,-7.059781018E1
2.164873396E1,-7.056037059E1
2.175556767E1,-6.923194448E1
2.185986196E1,-7.109140467E1
2.196567092E1,не число
2.207093646E1,-7.036869334E1
2.217604258E1,-6.815523263E1
2.227840162E1,-6.997142738E1
2.238515233E1,-7.176601560E1
2.249188317E1,-7.067502340E1
2.259640263E1,-7.179704319E1
2.270189108E1,-7.098392206E1
2.280861271E1,-6.956264521E1
2.291447558E1,-7.045486809E1
2.302132342E1,-6.960999387E1
2.312802758E1,-6.915610220E1
2.323051271E1,-7.051496125E1
2.333299558E1,-6.955509344E1
2.343973238E1,-6.876006003E1
2.354652304E1,-7.032352472E1
2.365096521E1,-6.855641558E1
2.375770029E1,-7.085618921E1
2.386445671E1,-6.992499475E1
2.396697062E1,-7.089968243E1
2.407334521E1,не число
2.417926325E1,-6.915320480E1
2.428488275E1,-6.917240529E1
2.438742904E1,-7.017036616E1
2.449331942E1,-6.959665591E1
2.460027908E1,-6.922428605E1
2.470340904E1,-7.033004276E1
2.481016462E1,-7.018546257E1
2.491696850E1,-6.955116573E1
2.502153842E1,-6.992866145E1
2.512403125E1,-7.058761625E1
2.523078808E1,-7.041573139E1
2.533756167E1,-7.050848316E1
2.544202379E1,-7.039003266E1
2.554883025E1,-7.117109785E1
2.565178500E1,-7.001290438E1
2.575807608E1,-7.010520282E1
2.586070500E1,-7.005260902E1
2.596744221E1,-6.902514867E1
2.607357371E1,-7.078298884E1
2.617858300E1,-7.170280778E1
2.628537354E1,-7.081931038E1
2.639214017E1,-7.148877276E1
2.649468271E1,-7.184408082E1
2.659718642E1,-7.000867446E1
2.670397837E1,-7.058013716E1
2.681078600E1,-6.947922132E1
2.691327504E1,-7.149246086E1
2.701567212E1,-7.107894133E1
2.712234167E1,-7.151158586E1
2.722908275E1,-7.048345730E1
2.733376446E1,-7.131871334E1
